NQR QUALIFICATIONS SUMMARY SHEET,,,,Downloaded on: 17-09-2026 06:36:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
S No.,Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,,
2408,Winding Machine Operator (Electronics Component),QG-04-EH-04208-2025-V4-ESSC,The Winding Machine Operator (Electronics Component) winds the metal-alloy wire or metalized film onto a core by using an automated or semi-automated winding machine in the process of manufacturing of capacitors and resistors. The individual sample also checks the resistance or capacitance of the winding,Electronics & HW,Level 4,480 Hours,480 Hours,Version ,08 May 2025,08 May 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council Of India (ESSCI),Production-S&C,Die Attach and Wire Bonding Supervisor,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""120""}",,
2409,Application Architect - Web & Mobile,QG-06-IT-03644-2025-V2-NASSCOM,"An Application Architect – Web & Mobile is responsible for designing, maintaining, evaluating, and testing the architectures of web-based and mobile-based products and solutions. The individual develops enterprise-wide policies and guidelines for software implementation, governance, and compliance. Additionally, the person evaluates and selects third-party tools, APIs, and service providers to enhance and optimize software solutions.",IT-ITeS,Level 6,600 Hours,480 Hours,Version ,25 Jun 2020,18 Feb 2028,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),Web & Mobile,"Academic progression: access to related qualification(s) at the same NSQF level: Product Manager – Web & Mobile, Senior User Experience Designer, Senior Application Developer Web & Mobile, Senior Test Analyst – Web & Mobile, Senior DevOps Analyst – Web & Mobile
Professional progression: access to related qualification(s) at the next NSQF level: Senior Product Manager – Web & Mobile, Lead User Experience Designer, Senior Application Architect – Web & Mobile, Lead Application Developer – Web & Mobile, Lead Test Analyst – Web & Mobile, Lead DevOps Analyst – Web & Mobile","Future Skills Qualification,Upskilling Qualification",N.A.,"{""Theory"":""120"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",,
2410,Assistant-Mine Surveyor,QG-04-MG-04053-2025-V2-SCMS,"An Assistant-Mine Surveyor assists in measuring and setting out dimensional control, setting out secondary dimensional work control, and handling resources to assist surveyor.",Mining,Level 4,600 Hours,480 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Mine Surveying,NSQF Level 5 – Mine Surveyor (to be developed),General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""300"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2411,VLSI Design Engineer,QG-05-EH-03969-2025-V4-ESSCI,"The individual at work designs SOC-module function using software and design tools as per the given 
specifications. The individual is also responsible for coordinating with other design teams involved in the 
SOC design",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Product Design-S&C,Lead - VLSI,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2412,Sr. Technician RACW* *Refrigeration Air Conditioning & Washing Machine,QG-05-EH-03970-2025-V4-ESSCI,"The individual interacts with customers to install the appliance, diagnose the problem to assess possible causes of malfunction, rectifies minor problems, and replaces faulty modules for failed parts or recommends factory repairs for bigger faults.",Electronics & HW,Level 5,630 Hours,630 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Assistant Manager – HVAC,Multi-Skill Qualification,N.A.,"{""Theory"":""150"",""Practical"":""240"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2413,Automotive Press Shop Assistant,QG-02-AU-04193-2025-V1-ASDC,"The individual in this role supports the Press Shop Technician during preparation for pressing work such as bringing material and tools, pressing activities such as equipment setup, holding tools etc. and post-pressing activities such as cleaning and maintenance of equipment and work area.",Automotive,Level 2,270 Hours,270 Hours,Version ,08 May 2025,08 May 2028,Automotive Skills Development Council (ASDC),Automotive Skills Development Council,Sheet Metal Forming,Automotive Press shop technician,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
2414,Remote Helpdesk Operator (Electronics Product),QG-03-EH-03976-2025-V4-ESSCI,"The individual in this job role receives, understands and resolves customer technical queries through 
telephone and interacts with customers to identify the problem, understand the cause, to trouble shoot 
and resolve the queries.",Electronics & HW,Level 3,390 Hours,390 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Customer Care Executive,Multi-Skill Qualification,N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""150""}",,
2415,Rural Mason,QG-3.5-CO-03962-2025-V2-CSDCI,"A Rural Mason performs routine rural construction works with either bricks/blocks or bamboo and performs work such as earth work for foundation, layout marking and construction of foundations, walls, installation of sanitary fittings and fixtures in rural toilets, IPS flooring, reinforcement and shuttering work, manual concreting work, fixing of door and window frames and shutters, treatment of bamboo, construction of simple buildings using bamboo, seismic and wind protection measures, construction using CSEB and random rubble masonry work.",Construction,Level 3.5,780 Hours,420 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Masonry-Rural,Brick Mason,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""120"",""Practical"":""0"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""270""}",,
2416,Bulldozer Operator,QG-03-MG-04054-2025-V2-SCMS,"The bulldozer operator uses the bulldozer to scoop out soil, move rocks and ore to other site of the location and level the ground. They are also responsible for confirming that the safety systems are working correctly and performing essential maintenance on the bulldozer.",Mining,Level 3,390 Hours,390 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Loading and Hauling - Opencast,"Vertical Progression: 
NSQF Level 4.0-Shovel Operator (to be developed)",General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""260"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2417,Dumper/ Tipper Operator,QG-03-MG-04055-2025-V2-SCMS,"The Dumper/Tipper operator uses the Dumper/Tipper (a heavy specialized truck) for transporting large
volume of loose material such as sand, gravel, crushed rock, coal, over burden, ore etc. to designated
place such as crusher hopper, site, dump yard, washing/handling plant etc. The operator is also responsible for discharging its load to rear, bottom or on one side efficiently. They also ensure that the
safety systems are working correctly and performing essential maintenance on the Dumper/Tipper.",Mining,Level 3,390 Hours,390 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Loading and Hauling - Opencast,NSQF Level 4.0 (Vertical Progression)-Shovel Operator (to be developed),General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""260"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2418,Jack Hammer Operator,QG-03-MG-04057-2025-V2-SCMS,"The Jack Hammer Operator drives and controls a Jack Hammer machine in mines (both opencast and
underground) or construction site to drilling a hole in the rock and break up rocks, concretes or mines
surfaces. Directs and facilities scaling of loose rocks and mucking of broken ore or waste rock from the
worksite. Operators are also responsible to ensure all safety systems are in place and performing basic
maintenance on the Jack Hammer.",Mining,Level 3,510 Hours,390 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Drilling/Cutting,NSQF Level 4.0 (Vertical) – Jumbo Drill Operator,General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""260"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2419,Loader Operator (Mining),QG-03-MG-04059-2025-V2-SCMS,"The Loader operator uses the Loader - O/C (Opencast mines) for moving aside or loading ROM (Run-OfMine), product etc, into or onto different types of machinery (such as dumper/tipper, conveyor belt, feedhopper etc,).They also ensure that the safety systems are working correctly and perform essential maintenance on the Loader.",Mining,Level 3,390 Hours,390 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Loading and Hauling-Opencast,NSQF Level 4.0 (Vertical)-Shovel Operator (to be developed),General Qualification,N.A.,"{""Theory"":""100"",""Practical"":""260"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2420,Aerospace Structural Fitter,QG-03-AA-04189-2025-V2-AASSC,"Aerospace Structural Fitter is is responsible for carrying out structural assembly of aircrafts/ helicopters
 and perform activities like drilling, reaming, riveting of structures, applying sealing compound etc",Aerospace & Aviation,Level 3,630 Hours,630 Hours,Version ,08 May 2025,08 May 2028,Aerospace and Aviation Sector Skill Council (AASSC),Aerospace and Aviation Sector Skill Council,"Aircraft Assembly, Testing and Overhauling",Aerospace structural Technician,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""255"",""Practical"":""285"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
2421,Sugarcane Cultivator,QG-03-AG-03905-2025-V2-ASCI,"The sugarcane cultivator undertakes the cultivation of sugarcane crop at the farm level. The individual is also responsible for harvesting and marketing the sugarcane crop. The person undertakes integrated pest and disease management, along with weed management as part of the job role.",Agriculture,Level 3,270 Hours,270 Hours,Version ,08 May 2025,08 May 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,Sugarcane Cultivator,"Sugarcane cultivator (L3), Sugarcane Grower cum Miller (L4)","Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2422,Chilling Plant Technician,QG-04-AG-03914-2025-V2-ASCI,"A Chilling Plant Technician performs work in the repair, maintenance, service, modification,
 troubleshooting, inspection and monitoring of the operation of the chilling system used for chilling milk.",Agriculture,Level 4,390 Hours,390 Hours,Version ,08 May 2025,08 May 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,Food and Related Products Machine Operators,"Chilling Plant Technician (L4), Milk Procurement & Input Supervisor(L5)","Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",,
2423,Bulk Milk Cooler (BMC) Operator,QG-04-AG-03907-2025-V2-ASCI,A Bulk Milk Cooler (BMC) Operator is responsible for operating a large storage tank used for cooling and holding milk at a certain temperature until it can be picked up by a milk hauler.,Agriculture,Level 4,390 Hours,390 Hours,Version ,06 Jun 2025,30 Apr 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,"Operator, Farm Machines",Milk Procurement & Input Supervisor(L5),"Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""150"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",,
2424,Mechatronics Maintenance Specialist,QG-05-EH-03974-2025-V3-ESSCI,"A Mechatronics Maintenance Specialist is responsible for installing, testing, and using sensors, actuators, and microcontrollers in the mechatronics system. The individual is also responsible for carrying out the repair and maintenance of the mechatronics system",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Engineering-I&A,Robotics Automation Lead,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2425,Junior Supervisor - Jute Spinning,QG-04-TX-04114-2025-V2-TSC,The role of a Junior Supervisor – Jute Spinning is to assist the supervisor and to guide the workers for smooth running of jute Spinning and Winding Machines in the Spinning and Winding Departments in jute industry. A Junior Supervisor – Jute Spinning can seek employment in a Jute factory.,Textile & Handloom,Level 4,450 Hours,450 Hours,Version ,08 May 2025,08 May 2028,Textile Sector Skill Council (TSC),Textile Sector Skill Council,Spinning,Supervisor - Jute Spinning,"Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""120"",""Practical"":""300"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2426,Tea Plantation Worker,QG-2.5-AG-03906-2025-V2-ASCI,"A Tea Plantation Worker is responsible for assisting in carrying out tea cultivation. It includes assisting in nursery and field preparation, assisting in propagating saplings in the nursery, transplanting the saplings, and maintaining and also post- harvest processing of tea crop.",Agriculture,Level 2.5,240 Hours,240 Hours,Version ,08 May 2025,30 Apr 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,Tea Plantation Worker,"Tea Plantation Worker(L2.5), Tea Grower (Small Entrepreneur) (L3)","Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""80"",""Practical"":""130"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2427,Wafer Testing and Sorting Engineer,QG-05-EH-03996-2025-V3-ESSCI,"Wafer Testing & Sorting Engineer is responsible for wafer inspection, testing & probe handling activity to verify all defined parameters for inspection of wafers before proceeding to another step of manufacturing. The individual needs to also assist the manager and/or other authorized personnel in machine buy-off and consumable calculations for each and every step.",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,31 Oct 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Production-S&C,Assistant Manager - Process,"Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2428,Embedded Product Design - Technical Lead,QG-5.5-EH-03983-2025-V4-ESSCI,"The Embedded Product Design Engineer-Technical Lead designs, develops and debugs embedded systems and related products as per the given requirements, specifications, system architecture and feasibility analysis. The individual leads and performs the assigned responsibilities independently",Electronics & HW,Level 5.5,600 Hours,600 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Product Design-S&C,Embedded Product Design Manager,"Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""150"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2429,Aircraft Avionics Junior Technician,QG-04-AA-04184-2025-V1-AASSC,"An Aircraft Avionics Junior Technician is responsible for the maintenance, repair, and overhaul of avionics systems in aircraft and helicopters. The role focuses on ensuring that the electronic systems controlling navigation, communication, and onboard monitoring are operational and meet regulatory standards. This includes diagnosing issues, replacing defective components, and conducting routine inspections to prevent potential malfunctions.",Aerospace & Aviation,Level 4,510 Hours,510 Hours,Version ,08 May 2025,08 May 2028,Aerospace and Aviation Sector Skill Council (AASSC),Aerospace and Aviation Sector Skill Council,Aircraft Maintenance,Senior  Aircraft Avionics Technician,Future Skills Qualification,N.A.,"{""Theory"":""170"",""Practical"":""240"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""70""}",,
2430,Aircraft Airframe & Powerplant Junior Technician,QG-04-AA-04185-2025-V1-AASSC,"Aircraft Powerplant Junior Technician is responsible for assembly of engine modules, complete engine, engine accessories and LRUs",Aerospace & Aviation,Level 4,510 Hours,510 Hours,Version ,08 May 2025,08 May 2028,Aerospace and Aviation Sector Skill Council (AASSC),Aerospace and Aviation Sector Skill Council,Aircraft Maintenance,Senior Aircraft Powerplant Technician,Future Skills Qualification,N.A.,"{""Theory"":""205"",""Practical"":""245"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
2431,Bar Bender and Steel Fixer,QG-04-CO-03948-2025-V2-CSDCI,"A Bar Bender and Steel Fixer is responsible for marking, cutting, bending, fabricating, placing and fixing reinforcement bars at the desired location using appropriate hand or power tools, within the specified time and defined tolerance limits, following safe work practices.",Construction,Level 4,450 Hours,450 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Bar Bending and Fixing,Foreman Reinforcement,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""120"",""Practical"":""270"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
2432,Airport Safety Officer,QG-04-AA-04187-2025-V2-AASSC,"The Airport Safety Officer is responsible for maintaining a safe and secure environment within the airport premises, including airside and landside areas. Their duties involve regular inspections, hazard identification, monitoring compliance with safety procedures, and responding to emergencies such as accidents, spills, fires, or security breaches. They ensure that airport operations comply with aviation safety regulations, organizational protocols, and environmental standards. The crew coordinates ground handling teams, air traffic control, emergency response units, and maintenance personnel to proactively manage risks and uphold operational safety standards.",Aerospace & Aviation,Level 4,450 Hours,450 Hours,Version ,08 May 2025,08 May 2028,Aerospace and Aviation Sector Skill Council (AASSC),Aerospace and Aviation Sector Skill Council,Airport Safety,Senior Airport Safety Officer,General Qualification,N.A.,"{""Theory"":""170"",""Practical"":""190"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
2433,Reinforcement Fitter,QG-04-CO-03949-2025-V2-CSDCI,"A Reinforcement Fitter is responsible for fabricating and fixing reinforcement bars for complex structures, such as arches, domes, and other circular structures in a sequential manner as per the work requirement within the specified time and tolerance. The individual also works with mechanical couplers for the extension of reinforcement bars.",Construction,Level 4,450 Hours,450 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Bar Bending and Fixing,Forman Reinforcement,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""270"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
2434,Aerospace CNC Machinist,QG-04-AA-04190-2025-V2-AASSC,This role primarily involves CNC machining of aerospace components/ structures in all pre-machining & post machining stages alongwith self inspection & gauging.,Aerospace & Aviation,Level 4,630 Hours,630 Hours,Version ,08 May 2025,08 May 2028,Aerospace and Aviation Sector Skill Council (AASSC),Aerospace and Aviation Sector Skill Council,Machining,Aerospace Machining Supervisor,General Qualification,N.A.,"{""Theory"":""210"",""Practical"":""330"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
2435,Artificial Intelligence/Machine Learning Innovative Analyst,QG-05-IT-04148-2025-V1-IITG,"Learners with the ability to extract insights from complex datasets, using statistical and machine learning techniques. They gain proficiency in developing predictive models and algorithms that enable systems to make autonomous decisions based on data. Learners also learn to evaluate model performance and communicate findings effectively through data visualization and storytelling. Moreover, they acquire an understanding of ethical considerations and responsible AI practices, ensuring their work aligns with societal values and norms. Overall, studying data science and AI/ML empowers learners to leverage data-driven approaches for solving real-world problems across diverse industries.",IT-ITeS,Level 5,510 Hours,510 Hours,Version ,08 May 2025,08 May 2028,Indian Institute of Technology Guwahati,"IIT Guwahati, Amingaon, North Guwahati, Guwahati, Assam 781039",Artificial Intelligence/ Machine Learning,AI-ML Architect,"Future Skills Qualification,Upskilling Qualification",N.A.,"{""Theory"":""220"",""Practical"":""170"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""60""}",,
2436,Aerospace Composite Technician,QG-04-AA-04191-2025-V2-AASSC,"Aerospace Composite Technician is responsible for performing composite operation on aerospace parts and understanding the part drawings and its process sheets, and understanding the safety points and precautions for manufacturing composite parts.",Aerospace & Aviation,Level 4,630 Hours,630 Hours,Version ,08 May 2025,08 May 2028,Aerospace and Aviation Sector Skill Council (AASSC),Aerospace and Aviation Sector Skill Council,Composites and Plastics Production,Aerospace Composites and Plastic Engineer,Future Skills Qualification,N.A.,"{""Theory"":""210"",""Practical"":""330"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""30""}",,
2437,Embedded Full Stack IoT Analyst,QG-05-EH-03981-2025-V4-ESSCI,The individual in this job role creates and implements new embedded OS based on system requirements and/or industry specifications. The individual builds and manages OS drivers for any custom hardware and to enhance existing applications with new features.,Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Product Design-S&C,Lead - IoT Analyst,"Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""150"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
2438,Airport Warehouse Coordinator,QG-04-AA-04192-2025-V2-AASSC,"Airport Warehouse Coordinator is responsible for supervising and controlling the activities of ground crew in loading, unloading, securing and staging of aircraft cargo in and around the airport premises. He must ensure all cargo is moved from storage area to aircraft and vice versa in a safe and timely manner. He will also be responsible for handling accounting and record keeping activities of the warehouse",Aerospace & Aviation,Level 4,420 Hours,420 Hours,Version ,08 May 2025,08 May 2028,Aerospace and Aviation Sector Skill Council (AASSC),Aerospace and Aviation Sector Skill Council,Cargo Terminal Operations,Supervisor - Airport Warehouse Coordinator,General Qualification,N.A.,"{""Theory"":""135"",""Practical"":""195"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
2439,Draughtsperson-Civil works,QG-04-CO-03955-2025-V2-CSDCI,"A Draughtsperson-Civil Works is responsible for the preparation, correction, and documentation of all types of drawings prepared for construction and erection works, 
showing all relevant plans, sections, elevations, and details along with other requirements as applicable based on the type of drawing.",Construction,Level 4,450 Hours,450 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Draughting,BIM Technician - Object Creation,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""270"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""60""}",,
2440,Wafer Dicing Engineer,QG-05-EH-03995-2025-V3-ESSCI,"Wafer Dicing Engineer works on Wafer Dicing Process & responsible for preparing recipe (Process Parameters), Data Analysis, Yield Maintenance & Improvements, Productivity Improvements etc. all. He needs to know the complete process of Wafer Dicing during IC Packaging to handle the process. Create process for new products.",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,31 Oct 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Production-S&C,Assistant Manager - Process,"Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2441,Mine Mechanic/Fitter,QG-03-MG-04061-2025-V2-SCMS,"A Mine Mechanic or Fitter in a mine is responsible for repair and maintenance of plant and machinery,
medium / light vehicles, drilling machines, pumps, compressors, pneumatic machines, overhaul of crushers and other mechanical equipment and assemblies. A mechanic/fitter most often works with / assists senior technicians.",Mining,Level 3,630 Hours,390 Hours,Version ,06 May 2025,06 May 2028,Skill Council for Mining Sector (SCMS),Skill Council for Mining Sector,Mechanical Services,NSQF Level 4.0 (Vertical)-Heavy Earth Moving Machinery (HEMM) Mechanic,General Qualification,N.A.,"{""Theory"":""80"",""Practical"":""280"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""0""}",,
2442,IT Hardware Maintenance Executive,QG-05-EH-03977-2025-V4-ESSCI,"IT Hardware Maintenance Executive is responsible for attending to problems in IT hardware and related 
software systems problems either as a dedicated engineer at the customer premises (Facility Management) or remotely (Managed Services).",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,After Sales Service,Assistant Manager Service,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""210"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",,
2443,Airline Flight Load Controller,QG-05-AA-03904-2025-V2-AASSC,The Load controller undertakes load distribution and calculation to ensure intended flight operates with the safety envelope as prescribed in the organizations operations manual,Aerospace & Aviation,Level 5,390 Hours,390 Hours,Version ,08 May 2025,30 Apr 2028,Aerospace and Aviation Sector Skill Council (AASSC),Aerospace and Aviation Sector Skill Council,Airline Operations,Senior Flight Load Controller,General Qualification,N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",,
2444,Mason Tiling,QG-3.5-CO-03959-2025-V2-CSDCI,"A Mason tiling is responsible for identifying, cutting, grinding, shaping, laying, fixing and finishing the tiles on floors and walls using the appropriate tools and equipment, as per the specified standards, patterns and within the dimensional accuracy.",Construction,Level 3.5,390 Hours,390 Hours,Version ,08 May 2025,30 Apr 2028,Construction Skill Development Council of India (CSDCI),Construction Skill Development Council of India (CSDCI),Masonry,Foreman Wet Finishing & Flooring,"General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""240"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""30""}",,
2445,Sr. Executive- Business Development (Electronics),QG-05-EH-03984-2025-V5-ESSCI,"The individual at work is responsible for studying the market research in the ESDM sector, understanding the customer requirement and offering products and services to satisfy the customer requirement. The individual at work coordinates and interacts with customers for sale of products and services.",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,30 Apr 2028,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Marketing and Sales-S&C,Lead – Business Development,General Qualification,N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
2446,Airline Ground Support Equipment Operator,QG-04-AA-03902-2025-V2-AASSC,"An Airline Ground Support Equipment (GSE) Operator is responsible for operating and maintaining ground support equipment, such as tugs, belt loaders, and aircraft tractors. This role ensures the safe and efficient movement of aircraft and luggage on the ground. Operators must be trained in safety protocols, equipment handling, and airport operations.",Aerospace & Aviation,Level 4,390 Hours,390 Hours,Version ,06 May 2025,30 Apr 2028,Aerospace and Aviation Sector Skill Council (AASSC),Aerospace and Aviation Sector Skill Council,Loading and unloading,"Supervisor Ground Support Equipment; 
Airline Ground Support Equipment Operator","General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""105"",""Practical"":""135"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""120""}",,
2447,Genetic Counsellor,QG-6.5-HE-04217-2025-V2-HSSC,"The individual is responsible for obtaining clinical, family and health information, advising individuals/families about their risk of inheriting genetic diseases, informing testing options for diagnosis and providing available options to prevent/ treat genetic conditions. They also focus on empowering their patients by helping them understand and adjust to the genetic conditions. Individuals would keep oneself abreast of the latest technologies and future opportunities of broadening the scope of work in context of recent advancements in human genomics and genetic counselling. They should be able to apply genomics in different medical specialties, personalized/precision medicine and disease research.",Healthcare,Level 6.5,1200 Hours,1200 Hours,Version ,08 May 2025,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare sector skill council,Counselling,Progression to Diploma/Degree qualifications in the relevant field after training. (NCAHP),Future Skills Qualification,N.A.,"{""Theory"":""390"",""Practical"":""420"",""EmployabilitySkills"":""90"",""OJT_Mandatory"":""300""}",,
2448,Wafer Back Grinding Engineer,QG-05-EH-03994-2025-V3-ESSCI,"Wafer Back Grinding Engineer works on Wafer Grinding Process & responsible for preparing recipe (Process Parameters), Data Analysis, Yield Maintenance & Improvements, Productivity Improvements etc. all. He needs to know the complete process of Wafer Grinding during IC Packaging to handle the process. Create process for new products.",Electronics & HW,Level 5,570 Hours,570 Hours,Version ,07 May 2025,31 Oct 2025,Electronics Sector Skills Council Of India (ESSCI),Electronics Sector Skills Council of India,Production-S&C,Assistant Manager - Process,"Future Skills Qualification,General Qualification",N.A.,"{""Theory"":""150"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""180""}",,
